/**
 * Lookup Table for variables/monitorresolution
 * 
 * Maps string values to their numeric IDs for use in Adobe Analytics segments.
 * 
 * Client: Legend
 * Last Updated: 2025-12-23
 * 
 * Format: stringValue|numericId
736 x 533|786
736 x 568|788
736 x 600|360
736 x 640|790
736 x 667|792
736 x 690|794
736 x 720|811
736 x 736|796
736 x 768|362
736 x 864|364
736 x 960|798
768 x 1024|8
768 x 1366|202
768 x 1440|472
768 x 1536|157
768 x 320|459
768 x 360|460
768 x 375|461
768 x 384|462
768 x 390|458
768 x 400|39
768 x 414|463
768 x 432|212
768 x 480|27
768 x 533|464
768 x 568|465
768 x 600|26
768 x 640|466
768 x 667|467
768 x 690|468
768 x 720|470
768 x 736|469
768 x 768|114
768 x 864|160
768 x 960|471
800 x ???|104
800 x 1024|122
800 x 1200|38
800 x 1280|128
800 x 1366|488
800 x 1728|140
800 x 240|92
800 x 320|473
800 x 360|475
800 x 375|476
800 x 384|477
800 x 390|474
800 x 400|53
800 x 414|478
800 x 432|479
800 x 480|5
800 x 533|480
800 x 568|481
800 x 600|6
800 x 640|482
800 x 667|483
800 x 690|484
800 x 720|486
800 x 736|485
800 x 768|31
800 x 800|106
800 x 864|151
800 x 960|487
960 x 1024|381
960 x 1200|382
960 x 1280|383
960 x 1366|386
960 x 1440|387
960 x 1536|384
960 x 1728|385
960 x 320|817
960 x 360|818
960 x 375|819
960 x 384|820
960 x 390|812
960 x 400|376
960 x 414|821
960 x 432|822
960 x 480|377
960 x 533|813
960 x 568|642
960 x 600|216
960 x 640|643
960 x 667|644
960 x 690|814
960 x 720|823
960 x 736|815
960 x 768|378
960 x 800|379
960 x 864|380
960 x 960|816
Not Specified|0
